job_id,analysis_period_label,start_time,execution_time_seconds,slot_hours,estimated_slot_cost_usd,approximate_slot_count,gb_scanned,is_qos_violation,qos_violation_seconds,full_query_length,partial_query_length,pct_captured_in_sample,pattern_1_retailer_equals,pattern_2_retailer_in,pattern_3_join_retailer,pattern_4_comment_retailer,pattern_5_json_retailer,pattern_6_url_retailer,pattern_7_table_suffix,has_retailer_moniker_field,has_retailer_word,has_api_comment,api_comment_line,best_retailer_match,retailer_extraction_success,has_joins,has_group_by,has_window_functions,has_cte,has_partition_filter,approx_from_clauses,query_preview_1000,full_query_text
38a97d81-0461-46a6-b8d4-409fd9a6f8b5,Baseline_2025_Sep_Oct,2025-09-30 10:27:29.930000+00:00,0,0.0,0.0002,34.979643765903305,0.14,,0,231,231,100.0,dooney,,,,,,looker,True,True,False,,dooney,True,False,False,False,False,False,1.0,"SELECT COUNT( * ) AS count
FROM analytics.v_return_details_looker AS T
WHERE ( T.retailer_moniker = 'dooney' ) AND ( T.return_created_date >= '2025-09-23' AND T.return_created_date <= '2025-09-29' ) AND ( ( T.locale = 'en_US' ) )
;","SELECT COUNT( * ) AS count
FROM analytics.v_return_details_looker AS T
WHERE ( T.retailer_moniker = 'dooney' ) AND ( T.return_created_date >= '2025-09-23' AND T.return_created_date <= '2025-09-29' ) AND ( ( T.locale = 'en_US' ) )
;"
0daa06ad-259b-4c12-82ca-e81f88ba76c5,Baseline_2025_Sep_Oct,2025-10-03 13:20:55.330000+00:00,0,0.01,0.0003,23.93,1.37,,0,290,290,100.0,carharttr,,,,,,looker,True,True,False,,carharttr,True,False,False,False,False,False,1.0,"SELECT COUNT( * ) AS count
FROM analytics.v_return_details_looker AS T
WHERE ( T.retailer_moniker = 'carharttr' ) AND ( T.return_created_date >= '2025-06-01' AND T.return_created_date <= '2025-10-02' ) AND ( ( T.locale = 'en_US' ) ) AND ( lower(T.tracking_number) = '1z62e5y99012854326' )
;","SELECT COUNT( * ) AS count
FROM analytics.v_return_details_looker AS T
WHERE ( T.retailer_moniker = 'carharttr' ) AND ( T.return_created_date >= '2025-06-01' AND T.return_created_date <= '2025-10-02' ) AND ( ( T.locale = 'en_US' ) ) AND ( lower(T.tracking_number) = '1z62e5y99012854326' )
;"
1ab2bd2f-92ef-4e7e-b283-c743a54a5119,Peak_2024_2025,2025-01-09 20:00:08.335000+00:00,0,0.0,0.0001,5.950484391819161,8.23,,0,327,327,100.0,youthtothepeople,,,,,,view,True,True,False,,youthtothepeople,True,False,True,False,False,False,1.0,"SELECT SUM( T.count * 1.00 ) AS sum_count, T.event_track_status AS event_track_status
FROM analytics.v_component_platform_track_page_view AS T
WHERE ( T.event_ts >= '2024-12-10' AND T.event_ts <= '2025-01-08' ) AND ( T.type = 'OUTBOUND_SHIPPING' ) AND ( T.retailer_moniker = 'youthtothepeople' )
GROUP BY T.event_track_status
;","SELECT SUM( T.count * 1.00 ) AS sum_count, T.event_track_status AS event_track_status
FROM analytics.v_component_platform_track_page_view AS T
WHERE ( T.event_ts >= '2024-12-10' AND T.event_ts <= '2025-01-08' ) AND ( T.type = 'OUTBOUND_SHIPPING' ) AND ( T.retailer_moniker = 'youthtothepeople' )
GROUP BY T.event_track_status
;"
e3cb9963-071b-4f32-a285-385e2e3b1819,Peak_2024_2025,2024-12-01 14:45:24.096000+00:00,0,0.0,0.0,1.2701149425287357,0.02,,0,336,336,100.0,arula,,,,,,details,True,True,False,,arula,True,False,False,False,False,False,1.0,"
--returns_started
select
    IFNULL(count(distinct return_process_info_id), 0) as count_distinct_return_process_info_id
from
    reporting.t_return_details
where
    retailer_moniker = 'arula'
    and lower(locale) = lower('en_US')
    and return_status != 'cancelled'
    and return_created_date between '2024-11-24' and '2024-11-30'
","
--returns_started
select
    IFNULL(count(distinct return_process_info_id), 0) as count_distinct_return_process_info_id
from
    reporting.t_return_details
where
    retailer_moniker = 'arula'
    and lower(locale) = lower('en_US')
    and return_status != 'cancelled'
    and return_created_date between '2024-11-24' and '2024-11-30'
"
ba6d37f8-f846-47de-aa7a-d3c809f9553c,Peak_2024_2025,2024-12-23 14:39:35.814000+00:00,0,0.0,0.0001,10.68199233716475,0.04,,0,672,500,74.4,champion,,,,,,details,True,True,False,,champion,True,False,True,True,False,True,2.0,"
--average_items_per_mail_return
select
    IFNULL(round(avg(items),1), 0) AS average_items
from
    (select
        return_process_info_id, sum(return_qty) AS items,
        row_number() over(partition by return_process_info_id order by return_last_modified_date desc) as rnk
    from
        reporting.t_return_details
    where
        retailer_moniker = 'champion'
        and lower(locale) = lower('en_US')
        and return_status != 'cancelled'
        and return_method in ('mail', 'printerless_mail')
        and return_created_date between '2024-12-15' and '2024-12-21'
    group by
        return_process_info_id, return_last_modified_date
    )
where rnk = 1
","
--average_items_per_mail_return
select
    IFNULL(round(avg(items),1), 0) AS average_items
from
    (select
        return_process_info_id, sum(return_qty) AS items,
        row_number() over(partition by return_process_info_id order by return_last_modified_date desc) as rnk
    from
        reporting.t_return_details
    where
        retailer_moniker = 'champion'
        and lower(locale) = lower('en_US')
        and return_status != 'cancelled'
        and return_method in ('mail', 'printerless_mail')
        and return_created_date between '2024-12-15' and '2024-12-21'
    group by
        return_process_info_id, return_last_modified_date
    )
where rnk = 1
"
919b84a1-0b17-4bc4-adc0-d59d29dacc2a,Baseline_2025_Sep_Oct,2025-10-25 15:18:43.330000+00:00,0,0.01,0.0004,33.90601092896175,2.51,,0,279,279,100.0,crewclothing,,,,,,looker,True,True,False,,crewclothing,True,False,False,False,False,False,1.0,"SELECT COUNT( * ) AS count
FROM analytics.v_return_details_looker AS T
WHERE ( T.retailer_moniker = 'crewclothing' ) AND ( T.return_created_date >= '2025-01-01' AND T.return_created_date <= '2025-10-24' ) AND ( ( T.locale = 'en_GB' ) ) AND ( lower(T.order_number) = '8874942' )
;","SELECT COUNT( * ) AS count
FROM analytics.v_return_details_looker AS T
WHERE ( T.retailer_moniker = 'crewclothing' ) AND ( T.return_created_date >= '2025-01-01' AND T.return_created_date <= '2025-10-24' ) AND ( ( T.locale = 'en_GB' ) ) AND ( lower(T.order_number) = '8874942' )
;"
98b4f2f1-26e1-4838-896c-bebae8bd79ce,Baseline_2025_Sep_Oct,2025-09-24 09:18:56.129000+00:00,0,0.0,0.0001,11.369734789391575,0.24,,0,1433,500,34.9,rapha,,,,,,details,True,True,False,,rapha,True,False,True,True,False,True,2.0,"
--items_per_return_bar
select
    CASE return_method
    WHEN 'mail' THEN 'Mail Returns'
    WHEN 'printerless_mail' THEN 'Printerless Mail Returns'
    WHEN 'concierge' THEN 'Concierge Returns'
    WHEN 'store' THEN 'Store Returns'
    WHEN 'pickup' THEN 'Pickup'
    WHEN 'local_pickup' THEN 'Local Pickup'
    WHEN 'home_pickup' THEN 'Home Pickup'
    WHEN 'locker_dropoff' THEN 'Locker Dropoff'
    WHEN 'keeptheitem' THEN 'Keep The Item'
    WHEN 'self' THEN 'Self'
    WHEN 'concierge_partnership' THEN 'Concierge Partnership Returns'
    WHEN 'boxless' THEN 'Boxless Returns'
    ELSE 'Other'
    END AS return_method, items_count_bucket as bucket, count(1) as sum_return_count
from
    (select
        return_method,
        return_process_info_id,
        case
            when sum(return_qty) >= 5 then '5+'
            else cast(sum(return_qty) as string)
        end as items_count_bucket,
        row_number() over(partition by return_process_info_id order by return_last_modified_date ","
--items_per_return_bar
select
    CASE return_method
    WHEN 'mail' THEN 'Mail Returns'
    WHEN 'printerless_mail' THEN 'Printerless Mail Returns'
    WHEN 'concierge' THEN 'Concierge Returns'
    WHEN 'store' THEN 'Store Returns'
    WHEN 'pickup' THEN 'Pickup'
    WHEN 'local_pickup' THEN 'Local Pickup'
    WHEN 'home_pickup' THEN 'Home Pickup'
    WHEN 'locker_dropoff' THEN 'Locker Dropoff'
    WHEN 'keeptheitem' THEN 'Keep The Item'
    WHEN 'self' THEN 'Self'
    WHEN 'concierge_partnership' THEN 'Concierge Partnership Returns'
    WHEN 'boxless' THEN 'Boxless Returns'
    ELSE 'Other'
    END AS return_method, items_count_bucket as bucket, count(1) as sum_return_count
from
    (select
        return_method,
        return_process_info_id,
        case
            when sum(return_qty) >= 5 then '5+'
            else cast(sum(return_qty) as string)
        end as items_count_bucket,
        row_number() over(partition by return_process_info_id order by return_last_modified_date desc) as rnk
    from
        reporting.t_return_details
    where
        retailer_moniker = 'rapha'
        and lower(locale) = lower('en_US')
        and return_created_date between '2025-08-24' and '2025-09-22'
        and return_status != 'cancelled'
    group by
        return_method, return_process_info_id, return_last_modified_date
    )
where rnk = 1
group by return_method, items_count_bucket
order by items_count_bucket
"
87c5a5c3-3973-4624-a4ed-b5c7a4268403,Peak_2024_2025,2025-01-14 00:26:33.844000+00:00,0,0.01,0.0007,78.29803328290468,0.75,,0,230,230,100.0,crocs,,,,,,looker,True,True,False,,crocs,True,False,False,False,False,False,1.0,"SELECT COUNT( * ) AS count
FROM analytics.v_return_details_looker AS T
WHERE ( T.retailer_moniker = 'crocs' ) AND ( T.return_created_date >= '2024-12-09' AND T.return_created_date <= '2025-01-07' ) AND ( ( T.locale = 'ja_JP' ) )
;","SELECT COUNT( * ) AS count
FROM analytics.v_return_details_looker AS T
WHERE ( T.retailer_moniker = 'crocs' ) AND ( T.return_created_date >= '2024-12-09' AND T.return_created_date <= '2025-01-07' ) AND ( ( T.locale = 'ja_JP' ) )
;"
ac47d395-091c-419e-ae48-616f665c6137,Baseline_2025_Sep_Oct,2025-09-08 12:47:36.963000+00:00,0,0.0,0.0001,8.5,0.29,,0,649,500,77.0,theory,,,,,,details,True,True,False,,theory,True,False,True,True,False,True,2.0,"
--average_items_per_store_return
select
    IFNULL(round(avg(items),1), 0) AS average_items
from
    (select
        return_process_info_id, sum(return_qty) AS items,
        row_number() over(partition by return_process_info_id order by return_last_modified_date desc) as rnk
    from
        reporting.t_return_details
    where
        retailer_moniker = 'theory'
        and lower(locale) = lower('en_US')
        and return_status != 'cancelled'
        and return_method = 'store'
        and return_created_date between '2025-07-30' and '2025-08-28'
    group by
        return_process_info_id, return_last_modified_date
    )
where rnk = 1
","
--average_items_per_store_return
select
    IFNULL(round(avg(items),1), 0) AS average_items
from
    (select
        return_process_info_id, sum(return_qty) AS items,
        row_number() over(partition by return_process_info_id order by return_last_modified_date desc) as rnk
    from
        reporting.t_return_details
    where
        retailer_moniker = 'theory'
        and lower(locale) = lower('en_US')
        and return_status != 'cancelled'
        and return_method = 'store'
        and return_created_date between '2025-07-30' and '2025-08-28'
    group by
        return_process_info_id, return_last_modified_date
    )
where rnk = 1
"
28217cc8-b674-4505-8c19-ce36cffeee17,Baseline_2025_Sep_Oct,2025-10-06 17:25:19.099000+00:00,1,0.0,0.0002,16.450292397660817,0.54,,0,278,278,100.0,aritzia,,,,,,engagement,True,True,False,,aritzia,True,False,False,False,False,False,1.0,"SELECT COUNT( distinct distinct_event ) AS count_distinct_distinct_event
FROM analytics.v_component_platform_support_engagement AS T
WHERE ( T.event_ts >= '2025-09-29' AND T.event_ts <= '2025-10-05' ) AND ( T.type = 'OUTBOUND_SHIPPING' ) AND ( T.retailer_moniker = 'aritzia' )
;","SELECT COUNT( distinct distinct_event ) AS count_distinct_distinct_event
FROM analytics.v_component_platform_support_engagement AS T
WHERE ( T.event_ts >= '2025-09-29' AND T.event_ts <= '2025-10-05' ) AND ( T.type = 'OUTBOUND_SHIPPING' ) AND ( T.retailer_moniker = 'aritzia' )
;"
